TRUE,30007,2001,Bodegard A,Neuron,1,Intersection between Active Shape Discrimination vs. Rest and Passive Shape Discrimination vs. Rest,Perception.Somesthesis,16
TRUE,30011,2002,Cabeza R,NeuroImage,1,ER - Fixation,Cognition.Memory.Explicit,36
TRUE,30011,2002,Cabeza R,NeuroImage,2,WM - Fixation,Cognition.Memory.Working,33
TRUE,30016,2001,Desmurget M,Journal of Neuroscience,1,Overall hand-reaching effect,"Action.Execution,Perception.Vision.Motion",17
TRUE,30016,2001,Desmurget M,Journal of Neuroscience,2,Strict hand-reaching effect,Action.Execution,14
FALSE,30016,2001,Desmurget M,Journal of Neuroscience,3,Eye error correction effect,"Perception.Vision.Motion,Action.Execution",3
FALSE,30029,2001,Herath P,Cerebral Cortex,1,Visual - Control,Perception.Vision,11
TRUE,30029,2001,Herath P,Cerebral Cortex,2,Somatosensory - Control,Perception.Somesthesis,4
TRUE,30029,2001,Herath P,Cerebral Cortex,3,Dual-Short ISI - Control,"Perception.Somesthesis,Perception.Vision",9
FALSE,30029,2001,Herath P,Cerebral Cortex,4,Dual-Long ISI - Control,"Perception.Somesthesis,Perception.Vision",5
FALSE,30029,2001,Herath P,Cerebral Cortex,5,Dual Task - Single Tasks,"Perception.Somesthesis,Perception.Vision",9
FALSE,30029,2001,Herath P,Cerebral Cortex,6,Dual Short ISI - Long ISI,"Perception.Somesthesis,Perception.Vision",2
TRUE,30033,2001,Indovina I,Experimental Brain Research,1,Move vs. No-Move,Action.Execution,15
TRUE,30033,2001,Indovina I,Experimental Brain Research,2,Move-Attend vs. No-Move,"Action.Execution,Cognition.Attention",23
FALSE,30033,2001,Indovina I,Experimental Brain Research,3,Move-Attend vs. Move,"Cognition.Attention,Action.Execution",15
FALSE,30033,2001,Indovina I,Experimental Brain Research,4,Attend vs. No-Move,"Cognition.Attention,Action.Execution",10
TRUE,30035,2002,Kiehl K A,NeuroImage,1,Congruent vs. Incongruent Terminal Word Endings,Cognition.Language.Syntax,12
FALSE,30036,2001,Klein D,NeuroImage,1,"Tone Discrimination minus Silent Baseline, Chinese Speakers",Cognition.Language.Phonology,13
TRUE,30036,2001,Klein D,NeuroImage,2,"Tone Discrimination minus Silent Baseline, English Speakers",Cognition.Language.Phonology,17
FALSE,30036,2001,Klein D,NeuroImage,3,Chinese > English,Cognition.Language.Phonology,11
FALSE,30036,2001,Klein D,NeuroImage,4,English > Chinese,Cognition.Language.Phonology,5
TRUE,30046,2000,Moore C I,Journal of Neurophysiology,1,Tactile vs. Motor Stimulation,Perception.Somesthesis,3
TRUE,30054,1997,Rao S M,Journal of Neuroscience,1,Synchronization-300 vs. Rest,Action.Execution,3
TRUE,30054,1997,Rao S M,Journal of Neuroscience,2,Continuation-300 vs. Rest,Action.Execution,7
FALSE,30054,1997,Rao S M,Journal of Neuroscience,3,Listening-300 vs. Rest,Perception.Audition,2
FALSE,30054,1997,Rao S M,Journal of Neuroscience,4,Discrimination-300 vs. Rest,Perception.Audition,3
